语音通话整体满意度,网络覆盖与信号强度,语音通话清晰度,语音通话稳定性,是否遇到过网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,手机没有信号,有信号无法拨通,通话过程中突然中断,通话中有杂音、听不清、断断续续,串线,通话过程中一方听不见,其他，请注明.1,脱网次数,mos质差次数,未接通掉话次数,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户
10,6,6,6,1,-1,2,-1,-1,-1,-1,-1,-1,-1,2,-1,4,-1,-1,-1,0,0,0,0,1816.45,1,250.0,1.0,644,644,347.32,644,0.0,480,1.0,8450801,8450801,1
2,1,1,1,1,1,2,-1,4,-1,-1,-1,-1,-1,-1,-1,4,-1,6,-1,0,0,0,0,0.0,1,0.0,1.0,902,902,111.4,902,0.0,480,1.0,17425910,17425910,1
10,7,7,7,1,-1,-1,-1,-1,-1,6,-1,-1,1,-1,-1,-1,-1,6,-1,0,0,0,0,0.0,1,0.0,1.0,322,322,48.0,322,0.0,413,1.0,6215849,6215849,0
6,7,7,6,1,1,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,139,139,49.0,139,0.0,301,1.0,5370710,5370710,1
5,5,4,3,1,-1,2,-1,-1,5,-1,7,-1,-1,2,3,4,-1,6,-1,0,0,0,0,0.0,1,0.0,1.0,787,787,138.1,787,0.0,1193,1.0,3857521,3857521,0
7,6,6,4,1,1,-1,-1,-1,5,6,-1,-1,-1,2,3,4,-1,6,-1,0,0,0,0,0.0,1,0.0,1.0,627,627,140.09,627,0.0,794,1.0,31131458,31131458,0
8,7,9,9,1,-1,-1,-1,4,-1,6,7,-1,1,-1,-1,4,-1,6,-1,0,0,0,0,0.0,1,0.0,1.0,334,334,60.0,334,0.0,306,1.0,15342037,15342037,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,0,0,0.0,1,0.0,1.0,386,386,73.0,386,0.0,185,1.0,11432042,11432042,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,474,474,80.36,474,0.0,277,1.0,5017952,5017952,0
10,8,8,9,1,-1,2,-1,4,5,-1,7,-1,-1,-1,-1,4,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,43,43,29.0,43,0.0,233,1.0,950128,950128,1
4,4,4,4,1,1,-1,-1,-1,-1,6,7,-1,1,2,3,4,-1,6,-1,0,0,0,0,0.0,1,0.0,1.0,308,308,78.0,308,0.0,534,1.0,9083517,9083517,1
10,10,10,10,1,1,-1,-1,-1,-1,6,-1,-1,-1,2,-1,4,-1,-1,-1,0,2,0,0,0.0,1,0.0,1.0,182,182,43.94,182,0.0,192,1.0,17584927,17584927,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,43.95,1,10.0,1.0,174,174,18.0,174,0.0,168,1.0,128939,128939,0
8,6,8,7,1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,6,-1,0,0,0,0,137.65,1,14.93,1.0,185,185,81.93,185,0.0,275,1.0,21134232,21134232,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,131,131,100.0,131,0.0,88,1.0,2877605,2877605,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,460,460,31.0,460,0.0,304,1.0,187362,187362,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,147,147,20.45,147,0.0,120,1.0,84512,84512,0
9,9,9,6,1,1,2,3,4,5,6,7,-1,1,2,-1,4,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,209,209,21.0,209,0.0,272,1.0,22229413,22229413,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,216,216,45.0,216,0.0,143,1.0,4090068,4090068,1
10,10,10,9,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,1032,1032,130.0,1032,0.0,766,1.0,8489371,8489371,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,224,4,0,0,13.83,1,10.0,1.0,102,102,41.11,102,0.0,386,1.0,456367,456367,0
10,9,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,122,122,56.98,122,0.0,250,1.0,33512536,33512536,0
10,9,10,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,218,218,31.7,218,0.0,2679,1.0,100557,100557,0
2,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,4,-1,6,-1,0,0,0,0,0.0,1,0.0,1.0,279,279,62.0,279,0.0,590,1.0,6256219,6256219,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,295,295,66.0,295,0.0,330,1.0,45645300,45645300,0
1,1,1,1,1,-1,2,-1,-1,5,-1,7,-1,1,2,-1,4,-1,6,-1,0,0,0,0,0.0,1,0.0,1.0,2093,2093,211.0,2093,0.0,1669,1.0,29985114,29985114,0
7,5,7,5,1,-1,-1,-1,-1,5,6,7,-1,1,-1,3,-1,-1,6,-1,0,0,0,0,0.0,1,0.0,1.0,438,438,131.6,438,0.0,1261,1.0,15982740,15982740,1
8,7,4,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4,0,0,0.0,1,0.0,1.0,89,89,39.0,89,0.0,182,1.0,2198671,2198671,0
9,8,8,9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,0,0,0.0,1,0.0,1.0,106,106,10.28,106,0.0,105,1.0,8359319,8359319,0
10,6,8,7,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,26,0,0,0,0.0,1,0.0,1.0,157,157,41.56,157,0.0,203,1.0,18596631,18596631,0
10,7,8,7,1,-1,2,3,-1,-1,-1,-1,-1,1,2,3,4,-1,6,-1,0,0,0,0,0.0,1,15.0,1.0,469,469,44.1,469,0.0,625,1.0,14043534,14043534,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,136,136,8.0,136,0.0,229,1.0,62756,62756,0
10,10,10,10,1,1,-1,-1,-1,5,6,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,96,96,100.0,96,0.0,120,1.0,3182458,3182458,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,66,66,18.19,66,0.0,68,1.0,21028,21028,0
10,9,10,9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,172,172,35.28,172,0.0,132,1.0,9782615,9782615,0
10,9,9,9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,111,111,95.08,111,0.0,163,1.0,11563171,11563171,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,476,476,105.0,476,0.0,885,1.0,46851567,46851567,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,254,254,114.0,254,0.0,194,1.0,16862062,16862062,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,152.91,1,40.0,1.0,196,196,59.48,196,0.0,96,1.0,1010474,1010474,0
10,10,10,10,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,6,-1,0,0,0,0,75.93,1,15.8,1.0,219,219,64.36,219,0.0,389,1.0,3959657,3959657,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,317,317,145.0,317,0.0,356,1.0,9606789,9606789,1
10,10,10,10,1,-1,2,-1,-1,-1,6,7,-1,1,-1,3,4,-1,6,-1,0,6,1,0,0.0,1,0.0,1.0,49,49,21.0,49,0.0,369,1.0,17147016,17147016,1
8,9,8,8,1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,3,4,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,1181,1181,161.0,1181,0.0,1250,1.0,18282992,18282992,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,104.42,1,14.64,1.0,39,39,24.64,39,0.0,78,1.0,121537,121537,0
8,8,8,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,344.59,1,60.0,1.0,64,64,73.75,64,0.0,87,1.0,1889442,1889442,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1071.89,1,30.0,1.0,159,159,162.0,159,0.0,262,1.0,80135588,80135588,0
7,8,8,7,1,-1,-1,-1,-1,5,-1,7,-1,-1,-1,-1,4,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,1124,1124,34.4,1124,0.0,570,1.0,17170595,17170595,1
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,1034,1034,118.0,1034,0.0,765,1.0,484432,484432,0
10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.0,1,0.0,1.0,185,185,65.0,185,0.0,138,1.0,3833448,3833448,1
