居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,网络信号差/没有信号,显示有信号上不了网,上网过程中网络时断时续或时快时慢,手机上网速度慢,其他，请注明.1,看视频卡顿,打游戏延时大,打开网页或APP图片慢,下载速度慢,手机支付较慢,其他，请注明.2,爱奇艺,优酷,腾讯视频,芒果TV,搜狐视频,抖音,快手,火山,咪咕视频,其他，请注明.3,全部都卡顿,和平精英,王者荣耀,穿越火线,梦幻西游,龙之谷,梦幻诛仙,欢乐斗地主,部落冲突,炉石传说,阴阳师,其他，请注明.4,全部游戏都卡顿,微信,手机QQ,淘宝,京东,百度,今日头条,新浪微博,拼多多,其他，请注明.5,全部网页或APP都慢,脱网次数,上网质差次数,微信质差次数,套外流量（MB）,套外流量费（元）,当月MOU,是否5G网络客户,是否不限量套餐到达用户
1,-1,-1,-1,-1,6,7,-1,-1,-1,3,4,-1,1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,6,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,3,4,-1,-1,-1,-1,-1,-1,2,0,0,0.0,0.0,119,1,0
-1,-1,-1,-1,-1,6,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.0,0.0,64,0,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.0,0.0,33,1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,1,0.0,0.0,153,0,0
1,-1,-1,-1,-1,-1,-1,-1,1,2,3,4,-1,1,-1,3,-1,-1,-1,-1,-1,3,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,3,4,5,-1,-1,-1,-1,-1,52,0,0,0.0,0.0,110,1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0.0,0.0,92,1,0
-1,-1,-1,-1,-1,6,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,8,0.0,0.0,114,0,0
-1,2,-1,-1,-1,-1,-1,98,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,0,0.0,0.0,690,1,1
1,2,-1,-1,5,-1,7,-1,1,-1,-1,4,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,13,0,6,0.0,0.0,120,0,0
1,2,-1,4,5,6,-1,98,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,0,0.0,0.0,15,0,0
