是否遇到过网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,手机没有信号,有信号无法拨通,通话过程中突然中断,通话中有杂音、听不清、断断续续,串线,通话过程中一方听不见,其他，请注明.1,脱网次数,mos质差次数,未接通掉话次数,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,9.55,1,2.9,0.0,161,0,45.37,161,23.6,139,0.0,14360274,0,0
1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,0,17,1,0,0.0,1,0.0,0.0,270,0,60.0,270,60.0,102,0.0,9585266,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,39,4,0,0.0,1,0.0,0.0,662,0,89.0,662,89.0,80,0.0,6545659,0,0
1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,8,13,2,0,0.0,1,0.0,0.0,645,0,70.0,645,69.1,333,0.0,8266166,0,0
1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,6,98,22,1,2,0,0.0,1,0.0,0.0,496,0,56.0,496,56.0,258,0.0,13254086,0,1
1,1,-1,-1,-1,-1,6,-1,-1,1,2,3,4,-1,6,-1,38,23,8,0,0.0,1,0.0,0.0,657,0,75.5,657,38.5,732,0.0,5695737,0,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,0,0,0,0.0,1,0.0,0.0,618,0,56.1,618,56.0,567,0.0,9393460,296,0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,2,2,0,0.0,1,0.0,0.0,485,0,111.3,485,111.3,346,0.0,6384492,0,1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,12,1,0,0.0,1,0.0,0.0,175,0,11.75,175,8.0,42,0.0,64533,0,0
1,1,2,-1,-1,5,-1,7,-1,1,-1,3,4,-1,-1,-1,2,0,3,0,0.0,1,0.0,0.0,231,0,162.9,231,124.9,207,0.0,48515608,0,1
